Airline Service Quality Performance System : Airport View : BTS TranStats : Causes Of NAS Delay (Minutes),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
From 01/2000 To 12/2018 : ASPM Flights,,,,,,,,,,,,,,,,
Facility,Date,Wx,Vol,Eqpt,Rwy,Oth,Total,,,,,,,,,
ABE,Jun-03,416,46,0,25,257,744,,,,,,,,,
ABE,Jul-03,870,11,0,47,27,955,,,,,,,,,
ABE,Aug-03,753,73,0,0,0,826,,,,,,,,,
ABE,Sep-03,306,35,0,13,0,354,,,,,,,,,
ABE,Oct-03,63,85,0,20,0,168,,,,,,,,,
ABE,Nov-03,585,110,0,8,3,706,,,,,,,,,
ABE,Dec-03,559,66,0,35,20,680,,,,,,,,,
ABE,Jan-04,1073,145,0,86,30,1334,,,,,,,,,
ABE,Feb-04,271,130,0,7,46,454,,,,,,,,,
ABE,Mar-04,482,260,0,30,213,985,,,,,,,,,
ABE,Apr-04,555,208,94,85,111,1053,,,,,,,,,
ABE,May-04,1900,53,0,98,49,2100,,,,,,,,,
ABE,Jun-04,1189,46,0,10,155,1400,,,,,,,,,
ABE,Jul-04,1197,163,0,0,238,1598,,,,,,,,,
ABE,Aug-04,727,64,0,0,11,802,,,,,,,,,
ABE,Sep-04,143,69,0,66,47,325,,,,,,,,,
ABE,Oct-04,467,194,0,13,180,854,,,,,,,,,
ABE,Nov-04,368,150,0,53,88,659,,,,,,,,,
ABE,Dec-04,935,437,0,10,40,1422,,,,,,,,,
ABE,Jan-05,1046,245,0,38,18,1347,,,,,,,,,
ABE,Feb-05,452,161,0,30,134,777,,,,,,,,,
ABE,Mar-05,489,155,0,79,6,729,,,,,,,,,
ABE,Apr-05,103,117,0,57,71,348,,,,,,,,,
ABE,May-05,107,29,0,0,48,184,,,,,,,,,
ABE,Jun-05,463,64,28,0,0,555,,,,,,,,,
ABE,Jul-05,651,60,0,0,34,745,,,,,,,,,
ABE,Aug-05,387,116,0,0,38,541,,,,,,,,,
ABE,Sep-05,126,38,0,0,3,167,,,,,,,,,
ABE,Oct-05,158,20,19,8,51,256,,,,,,,,,
ABE,Nov-05,199,110,0,0,29,338,,,,,,,,,
ABE,Dec-05,516,143,0,0,25,684,,,,,,,,,
ABE,Jan-06,674,174,0,54,0,902,,,,,,,,,
ABE,Feb-06,317,112,0,70,0,499,,,,,,,,,
ABE,Mar-06,454,138,64,16,53,725,,,,,,,,,
ABE,Apr-06,186,73,0,242,0,501,,,,,,,,,
ABE,May-06,586,62,0,10,0,658,,,,,,,,,
ABE,Jun-06,1372,363,29,157,44,1965,,,,,,,,,
ABE,Jul-06,456,838,0,1,31,1326,,,,,,,,,
ABE,Aug-06,996,285,24,101,32,1438,,,,,,,,,
ABE,Sep-06,898,95,0,320,20,1333,,,,,,,,,
ABE,Oct-06,260,100,0,483,8,851,,,,,,,,,
ABE,Nov-06,508,418,0,78,0,1004,,,,,,,,,
ABE,Dec-06,345,172,0,24,0,541,,,,,,,,,
ABE,Jan-07,1109,241,0,39,86,1475,,,,,,,,,
ABE,Feb-07,957,125,44,24,20,1170,,,,,,,,,
ABE,Mar-07,261,251,0,0,0,512,,,,,,,,,
ABE,Apr-07,465,171,0,37,21,694,,,,,,,,,
ABE,May-07,954,214,0,11,51,1230,,,,,,,,,
ABE,Jun-07,1925,261,2,39,9,2236,,,,,,,,,
ABE,Jul-07,1603,257,0,66,6,1932,,,,,,,,,
ABE,Aug-07,731,188,55,114,32,1120,,,,,,,,,
ABE,Sep-07,387,89,0,51,16,543,,,,,,,,,
ABE,Oct-07,327,224,0,158,0,709,,,,,,,,,
ABE,Nov-07,136,302,0,164,0,602,,,,,,,,,
ABE,Dec-07,635,202,0,46,116,999,,,,,,,,,
ABE,Jan-08,875,89,0,60,6,1030,,,,,,,,,
ABE,Feb-08,867,129,0,0,0,996,,,,,,,,,
ABE,Mar-08,762,110,0,4,0,876,,,,,,,,,
ABE,Apr-08,343,156,44,21,1,565,,,,,,,,,
ABE,May-08,419,49,0,13,117,598,,,,,,,,,
ABE,Jun-08,1423,487,0,28,17,1955,,,,,,,,,
ABE,Jul-08,1688,221,25,61,41,2036,,,,,,,,,
ABE,Aug-08,714,135,8,47,0,904,,,,,,,,,
ABE,Sep-08,573,101,0,0,0,674,,,,,,,,,
ABE,Oct-08,142,119,0,0,60,321,,,,,,,,,
ABE,Nov-08,558,307,10,0,36,911,,,,,,,,,
ABE,Dec-08,1792,124,0,32,0,1948,,,,,,,,,
ABE,Jan-09,790,218,0,79,54,1141,,,,,,,,,
ABE,Feb-09,681,152,0,5,0,838,,,,,,,,,
ABE,Mar-09,395,195,0,0,0,590,,,,,,,,,
ABE,Apr-09,673,83,0,10,36,802,,,,,,,,,
ABE,May-09,211,88,0,0,77,376,,,,,,,,,
ABE,Jun-09,718,359,0,1,44,1122,,,,,,,,,
ABE,Jul-09,515,417,0,0,96,1028,,,,,,,,,
ABE,Aug-09,719,277,0,134,2,1132,,,,,,,,,
ABE,Sep-09,294,87,0,7,0,388,,,,,,,,,
ABE,Oct-09,712,36,0,2,77,827,,,,,,,,,
ABE,Nov-09,43,91,13,0,17,164,,,,,,,,,
ABE,Dec-09,767,248,0,41,0,1056,,,,,,,,,
ABE,Jan-10,446,536,35,0,0,1017,,,,,,,,,
ABE,Feb-10,749,212,0,72,0,1033,,,,,,,,,
ABE,Mar-10,315,120,0,0,17,452,,,,,,,,,
ABE,Apr-10,140,57,0,26,0,223,,,,,,,,,
ABE,May-10,314,183,0,30,182,709,,,,,,,,,
ABE,Jun-10,1193,122,0,3,0,1318,,,,,,,,,
ABE,Jul-10,1214,174,36,0,0,1424,,,,,,,,,
ABE,Aug-10,372,77,0,0,12,461,,,,,,,,,
ABE,Sep-10,396,12,0,90,0,498,,,,,,,,,
ABE,Oct-10,199,52,0,2,18,271,,,,,,,,,
ABE,Nov-10,97,48,0,0,0,145,,,,,,,,,
ABE,Dec-10,649,427,0,0,39,1115,,,,,,,,,
ABE,Jan-11,370,163,0,0,0,533,,,,,,,,,
ABE,Feb-11,691,14,0,0,0,705,,,,,,,,,
ABE,Mar-11,223,81,0,0,0,304,,,,,,,,,
ABE,Apr-11,432,18,0,0,1,451,,,,,,,,,
ABE,May-11,1175,24,0,0,9,1208,,,,,,,,,
ABE,Jun-11,1003,392,0,39,92,1526,,,,,,,,,
ABE,Jul-11,1218,287,0,0,62,1567,,,,,,,,,
ABE,Aug-11,1289,266,0,0,242,1797,,,,,,,,,
ABE,Sep-11,245,75,0,13,40,373,,,,,,,,,
ABE,Oct-11,77,130,3,86,0,296,,,,,,,,,
ABE,Nov-11,67,55,0,0,0,122,,,,,,,,,
ABE,Dec-11,118,0,5,0,0,123,,,,,,,,,
ABE,Jan-12,149,70,0,0,32,251,,,,,,,,,
ABE,Feb-12,133,61,0,0,0,194,,,,,,,,,
ABE,Mar-12,191,142,0,0,0,333,,,,,,,,,
ABE,Apr-12,54,68,0,0,0,122,,,,,,,,,
ABE,May-12,131,108,0,4,0,243,,,,,,,,,
ABE,Jun-12,62,5,0,7,37,111,,,,,,,,,
ABE,Jul-12,375,487,0,26,61,949,,,,,,,,,
ABE,Aug-12,486,60,0,0,0,546,,,,,,,,,
ABE,Sep-12,151,151,0,78,0,380,,,,,,,,,
ABE,Oct-12,153,159,0,85,11,408,,,,,,,,,
ABE,Nov-12,17,67,0,18,87,189,,,,,,,,,
ABE,Dec-12,227,194,0,0,0,421,,,,,,,,,
ABE,Jan-13,123,277,0,0,0,400,,,,,,,,,
ABE,Feb-13,463,186,0,13,57,719,,,,,,,,,
ABE,Mar-13,432,275,0,113,14,834,,,,,,,,,
ABE,Apr-13,207,430,0,22,132,791,,,,,,,,,
ABE,May-13,584,465,0,26,49,1124,,,,,,,,,
ABE,Jun-13,772,264,0,125,64,1225,,,,,,,,,
ABE,Jul-13,387,158,0,152,0,697,,,,,,,,,
ABE,Aug-13,313,200,0,7,0,520,,,,,,,,,
ABE,Sep-13,147,231,0,67,0,445,,,,,,,,,
ABE,Oct-13,0,195,0,0,34,229,,,,,,,,,
ABE,Nov-13,50,111,0,0,0,161,,,,,,,,,
ABE,Dec-13,71,125,0,39,0,235,,,,,,,,,
ABE,Jan-14,205,81,0,0,233,519,,,,,,,,,
ABE,Feb-14,40,444,0,0,0,484,,,,,,,,,
ABE,Mar-14,36,79,0,0,13,128,,,,,,,,,
ABE,Apr-14,0,152,0,0,0,152,,,,,,,,,
ABE,May-14,68,175,0,0,0,243,,,,,,,,,
ABE,Jun-14,151,25,0,0,0,176,,,,,,,,,
ABE,Jul-14,2,12,0,0,0,14,,,,,,,,,
ABE,Aug-14,162,70,0,22,0,254,,,,,,,,,
ABE,Sep-14,84,63,0,28,15,190,,,,,,,,,
ABE,Oct-14,44,10,0,76,0,130,,,,,,,,,
ABE,Nov-14,120,83,0,0,0,203,,,,,,,,,
ABE,Dec-14,45,72,0,0,0,117,,,,,,,,,
ABE,Jan-15,161,285,0,0,0,446,,,,,,,,,
ABE,Feb-15,225,187,0,0,22,434,,,,,,,,,
ABE,Mar-15,123,150,0,0,0,273,,,,,,,,,
ABE,Apr-15,118,226,0,0,0,344,,,,,,,,,
ABE,May-15,377,52,0,29,0,458,,,,,,,,,
ABE,Jun-15,184,0,0,0,0,184,,,,,,,,,
ABE,Jul-15,334,69,0,37,29,469,,,,,,,,,
ABE,Aug-15,351,120,0,0,55,526,,,,,,,,,
